City_ID,city,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
640,waipawa,NZ,281.5,overcast clouds,-41.4122,175.5153,Tora Coastal Walk
647,constitucion,CL,286.67,clear sky,-35.3333,-72.4167,Hotel Boutique Las Azucenas
648,maamba,ZM,289.23,clear sky,-17.3667,27.15,
649,wodonga,AU,282.15,overcast clouds,-36.1167,146.8833,The Hume Inn Motel
653,coquimbo,CL,287.0,clear sky,-29.9533,-71.3436,Punto de encuentro
660,biggar,GB,285.68,broken clouds,55.6167,-3.5167,The Mill Bed and Breakfast
661,comodoro rivadavia,AR,289.07,clear sky,-45.8667,-67.5,Austral Hotel
663,ulaangom,MN,288.57,clear sky,49.9811,92.0667,Achit Nuur Hotel & Restaurant
669,tazovskiy,RU,285.9,broken clouds,67.4667,78.7,TazHostel
673,antofagasta,CL,287.75,clear sky,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
678,sao luiz gonzaga,BR,284.09,clear sky,-28.4083,-54.9608,Xerife Hotel
682,itaqui,BR,285.03,clear sky,-29.1253,-56.5531,HOTEL BIASI - ITAQUI/RS
683,beringovskiy,RU,280.17,light rain,63.05,179.3167,Beringgorski
688,hellvik,NO,285.8,scattered clouds,59.9156,5.781,Rabben feriesenter AS
691,krasnoselkup,RU,289.0,overcast clouds,65.7,82.4667,Krasnosel'kupnefteprodukt
695,altay,CN,289.88,clear sky,47.8667,88.1167,Jinqiao Hotel
698,navirai,BR,289.7,clear sky,-23.065,-54.1906,Dubai Hotel - Também sua casa!
705,opochka,RU,286.45,broken clouds,56.7105,28.6617,Surgutneftegaz Motel
708,nigel,ZA,285.36,clear sky,-26.4314,28.4771,Nambiti Lodge
712,coihaique,CL,281.49,few clouds,-45.5752,-72.0662,Diego De Almagro Coyhaique
716,borovoy,RU,288.75,light rain,55.4333,86.0833,Tsimus
733,tahe,CN,288.97,overcast clouds,52.3333,124.7333,塔河宾馆
739,atocha,BO,281.32,overcast clouds,-20.9333,-66.2333,hotel paseo madrid
742,ziro,IN,287.77,overcast clouds,27.6333,93.8333,Ka-ngam homestay
743,paamiut,GL,280.08,overcast clouds,61.994,-49.6678,Hotel Ivaana
752,lida,BY,286.15,light rain,53.8833,25.2997,La Zamka
753,ampanihy,MG,289.95,clear sky,-24.7,44.75,Angora Hotel
754,general roca,AR,287.37,broken clouds,-39.0333,-67.5833,Hotel y Casino del Río General Roca
757,berlevag,NO,281.51,clear sky,70.8578,29.0864,Kvitbrakka
763,okaihau,NZ,286.21,scattered clouds,-35.3167,173.7833,Macadamia Farm
765,mezen,RU,286.2,broken clouds,65.8522,44.24,Gostevoy Dom Everest
769,karakol,KG,288.02,overcast clouds,42.4907,78.3936,"Gostinitsa ""Al'tamira"""
