City_ID,city,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
446,robertson,US,36.5167,-86.8667,302.44,50,1,3.09,clear sky
447,bocana de paiwas,NI,12.7857,-85.1227,300.26,83,99,5.26,overcast clouds
448,byron bay,AU,-28.65,153.6167,292.12,90,94,4.13,overcast clouds
449,pitimbu,BR,-7.4706,-34.8086,296.48,85,12,5.83,few clouds
450,santa elena,EC,-2.2333,-80.85,294.76,79,84,5.56,broken clouds
451,airai,TL,-8.9266,125.4092,286.19,81,71,1.51,broken clouds
452,ulagan,RU,50.6321,87.9563,283.44,78,3,0.32,clear sky
453,zonguldak,TR,41.25,31.8333,291.32,47,0,2.49,clear sky
454,alta floresta,BR,-9.8756,-56.0861,304.04,26,53,2.56,broken clouds
455,bejar,ES,40.3864,-5.7634,291.23,45,38,1.33,scattered clouds
456,kastamonu,TR,41.5,33.6667,288.67,76,0,0.21,clear sky
457,santarem,BR,-2.4431,-54.7083,300.22,83,0,1.54,clear sky
458,gunjur,GM,13.2019,-16.7339,297.19,100,75,3.6,broken clouds
459,stromness,GB,58.965,-3.296,282.29,73,17,2.62,few clouds
460,lufkin,US,31.3382,-94.7291,299.1,94,90,0,moderate rain
461,kismayo,SO,-0.3582,42.5454,297.24,83,100,7.83,overcast clouds
462,lorengau,PG,-2.0226,147.2712,301.02,80,18,3.96,few clouds
463,rawson,AR,-43.3002,-65.1023,288.64,31,39,4.64,scattered clouds
464,salalah,OM,17.0151,54.0924,298.2,94,90,3.09,overcast clouds
465,lianzhou,CN,24.7811,112.3825,298.55,80,67,0.78,broken clouds
466,makakilo city,US,21.3469,-158.0858,303.33,51,20,7.72,few clouds
467,columbus,US,39.9612,-82.9988,299.34,46,40,0.45,scattered clouds
468,manokwari,ID,-0.8667,134.0833,299.43,76,91,1.39,overcast clouds
469,werda,BW,-25.2667,23.2833,286,21,0,2.17,clear sky
470,pacific grove,US,36.6177,-121.9166,306.37,70,1,1.34,clear sky
471,leshukonskoye,RU,64.8989,45.7622,285.57,97,56,1.9,broken clouds
472,mocuba,MZ,-16.8392,36.9856,287.05,87,0,0.61,clear sky
473,borger,NL,52.9233,6.7931,286.94,90,8,2.05,clear sky
474,shahumyan,AM,39.9385,44.5697,297.33,43,0,0.84,clear sky
475,flin flon,CA,54.7682,-101.865,306.91,20,6,2.85,clear sky
476,zhezkazgan,KZ,47.8043,67.7144,299.48,30,6,4.16,clear sky
477,tiruvottiyur,,,,,,,,
478,cap malheureux,MU,-19.9842,57.6142,294.11,63,1,1.97,clear sky
479,okhotsk,RU,59.3833,143.3,287.88,64,100,4.25,overcast clouds
480,kysyl-syr,RU,63.8986,122.7617,291.38,49,0,3.01,clear sky
481,samarai,PG,-10.6167,150.6667,299.36,78,77,6.23,broken clouds
482,asau,RO,46.4333,26.4,293.12,83,23,1.54,light rain
483,isverna,RO,44.9797,22.6292,291.96,62,0,2.66,clear sky
484,tokur,RU,53.1333,132.9,281.56,99,100,1.8,overcast clouds
485,kiunga,PG,-6.1219,141.2906,294.92,91,80,1.32,broken clouds
486,lewiston,US,44.1003,-70.2148,297.49,70,1,3.09,clear sky
487,half moon bay,US,37.4636,-122.4286,306.9,58,20,4.12,few clouds
488,santander,ES,43.4647,-3.8044,292.58,83,75,1.34,broken clouds
489,yangambi,CD,0.8102,24.4336,295.54,82,97,0.28,overcast clouds
490,fairbanks,US,64.8378,-147.7164,302.13,44,1,2.06,clear sky
491,vila,PT,42.0304,-8.1588,287.45,79,32,2.02,scattered clouds
492,takhatgarh,IN,25.3333,73,299.46,82,100,7.73,overcast clouds
493,aleksandrovskoye,RU,44.7142,43.0008,294.23,57,38,2.52,scattered clouds
494,kwinana,AU,-32.25,115.7667,284.34,66,100,1.93,overcast clouds
495,pozoblanco,ES,38.3791,-4.8483,296.47,36,75,1.55,broken clouds
496,banff,CA,51.1762,-115.5698,292.47,82,100,1.1,overcast clouds
497,charlottetown,CA,46.2352,-63.1267,289.44,94,90,7.2,light intensity shower rain
498,cortez,US,37.3489,-108.5859,303.57,36,1,4.63,clear sky
499,uyemskiy,RU,64.4743,40.8524,288.18,94,40,2,scattered clouds
500,gevrai,IN,19.2667,75.75,296.84,78,100,7.37,overcast clouds
501,shumskiy,RU,54.8318,99.1328,284.13,94,99,1.52,overcast clouds
502,korla,CN,41.7597,86.1469,298.14,23,98,1.28,overcast clouds
503,port augusta,AU,-32.5,137.7667,281.88,88,42,4.39,scattered clouds
504,amapa,BR,1,-52,297.93,72,70,1.92,broken clouds
505,ahipara,NZ,-35.1667,173.1667,285.68,83,11,12.86,few clouds
506,hobyo,SO,5.3505,48.5268,298.27,78,38,10.5,scattered clouds
507,road town,VG,18.4167,-64.6167,301.59,74,40,3.6,scattered clouds
508,baiyin,CN,36.5583,104.2081,290.47,74,99,6.62,light rain
509,lianran,CN,24.9227,102.485,288.93,89,1,1.21,clear sky
510,tabiauea,,,,,,,,
511,ballina,AU,-28.8667,153.5667,290.25,90,100,3.87,overcast clouds
512,gostovici,BA,44.415,18.1583,292.4,70,51,1.19,broken clouds
513,dalvik,IS,65.9702,-18.5286,285.92,92,100,0.82,overcast clouds
514,toliary,,,,,,,,
515,awjilah,LY,29.1081,21.2869,304.21,28,0,5.57,clear sky
516,pingzhuang,CN,42.0372,119.2889,291.66,89,81,0.38,broken clouds
